Time (Seconds), Signal1 RightEyeX, Signal1 RightEyeY, Signal1 RightEyeZ, Signal1 LeftEyeX, Signal1 LeftEyeY, Signal1 LeftEyeZ, Signal1 RightPupilX, Signal1 RightPupilY, Signal1 RightPupilZ, Signal1 LeftPupilX, Signal1 LeftPupilY, Signal1 LeftPupilZ, Signal1 VergenceX, Signal1 VergenceY, Signal1 VergenceZ, Signal1 HeadX, Signal1 HeadY, Signal1 HeadZ, Signal3 RightEyeX, Signal3 RightEyeY, Signal3 RightEyeZ, Signal3 LeftEyeX, Signal3 LeftEyeY, Signal3 LeftEyeZ, Signal3 RightPupilX, Signal3 RightPupilY, Signal3 RightPupilZ, Signal3 LeftPupilX, Signal3 LeftPupilY, Signal3 LeftPupilZ, Signal3 VergenceX, Signal3 VergenceY, Signal3 VergenceZ, Signal3 HeadX, Signal3 HeadY, Signal3 HeadZ, StandardDeviation Absolute, StandardDeviationX, StandardDeviationY, StandardDeviationZ, StandardDeviation Sample Size, 
0, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, , , , , , 
0, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.0166667, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, , , , , , 
0.0333334, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, , , , , , 
0.0500001, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.0666668, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, , , , , , 
0.08333351, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, , , , , , 
0.1000002, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.1166669, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, , , , , , 
0.1333336, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.1500003, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, , , , , , 
0.166667, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.1833337, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.2000004, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.2166671, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.2333338, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.2500005, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.2666672, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.2833339, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.3000006, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.3166673, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.333334, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.3500007, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.3666674, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.3833341, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.4000008, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.4166675, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.4333342, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.4500009, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.4666676, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.4833343, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.500001, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.5166677, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.5333344, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.5500011, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.5666678, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.5833344, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.6000012, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.6166679, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.6333346, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.6500013, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.6666681, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.6833347, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.7000014, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.7166681, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.7333348, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.7500015, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.7666682, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.7833349, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.8000016, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
0.8166683, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 0, 0, 0, 0, 
